"Woonplaatsen in Nederland 2018"
""
"";"Onderwerp"
"";"Gemeente|Naam ";"Gemeente|Code ";"Provincie|Naam";"Provincie|Code";"Landsdeel|Naam";"Landsdeel|Code"
"Slappeterp";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Sleen";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Sleeuwijk";"Werkendam";"GM0870";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Slenaken";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Sliedrecht";"Sliedrecht";"GM0610";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Slijkenburg";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Slijk-Ewijk";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Slochteren";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Slootdorp";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Sloten";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Sluis";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Sluiskil";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Smakt";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Smalle Ee";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Smallebrugge";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Smilde";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Snakkerburen";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Sneek";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Snelrewaard";"Oudewater";"GM0589";"Utrecht";"PV26";"West-Nederland";"LD03"
"Snikzwaag";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Soerendonk";"Cranendonck";"GM1706";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Soest";"Soest";"GM0342";"Utrecht";"PV26";"West-Nederland";"LD03"
"Soesterberg";"Soest";"GM0342";"Utrecht";"PV26";"West-Nederland";"LD03"
"Someren";"Someren";"GM0847";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Sommelsdijk";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Son en Breugel";"SonenBreugel";"GM0848";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Sondel";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Sonnega";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Spaarndam";"HaarlemmerliedeenSpaarnwoude";"GM0393";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Spaarndam gem. Haarlem";"Haarlem";"GM0392";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Spanbroek";"Opmeer";"GM0432";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Spanga";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Spankeren";"Rheden";"GM0275";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Spannum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Spaubeek";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Spier";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Spier";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Spierdijk";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Spijk";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Spijk";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Spijk";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Spijkenisse";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Spijkerboor";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Spijkerboor";"Wormerland";"GM0880";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Sprang-Capelle";"Waalwijk";"GM0867";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Sprundel";"Rucphen";"GM0840";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Spui";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Stad aan 't Haringvliet";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stadskanaal";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Stampersgat";"Halderberge";"GM1655";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Standdaarbuiten";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Staphorst";"Staphorst";"GM0180";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Starnmeer";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Startenhuizen";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Startenhuizen";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Stavenisse";"Tholen";"GM0716";"Zeeland";"PV29";"West-Nederland";"LD03"
"Stavoren";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stedum";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"De Steeg";"Rheden";"GM0275";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Steenbergen";"Steenbergen";"GM0851";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Steenbergen";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Steendam";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Steenderen";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Steenenkamer";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Steensel";"Eersel";"GM0770";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Steenwijk";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Steenwijkerwold";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Stegeren";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Steggerda";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stein";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Stellendam";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Sterksel";"Heeze-Leende";"GM1658";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Stevensbeek";"SintAnthonis";"GM1702";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Stevensweert";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Steyl";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Stieltjeskanaal";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Stiens";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stitswerd";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Stokkum";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Stolwijk";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stompetoren";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Stoutenburg";"Leusden";"GM0327";"Utrecht";"PV26";"West-Nederland";"LD03"
"Stoutenburg Noord";"Amersfoort";"GM0307";"Utrecht";"PV26";"West-Nederland";"LD03"
"Stramproy";"Weert";"GM0988";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Streefkerk";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Striep";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Strijbeek";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Strijen";"Strijen";"GM0617";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Strijensas";"Strijen";"GM0617";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Stroe";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Stroobos";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Stuifzand";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Stuifzand";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Sumar";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Surhuisterveen";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Surhuizum";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Susteren";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Suwâld";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Swalmen";"Roermond";"GM0957";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Sweikhuizen";"Schinnen";"GM0962";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Swichum";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Swifterbant";"Dronten";"GM0303";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Swolgen";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Taarlo";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Teeffelen";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Teerns";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tegelen";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Terband";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terborg";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Terheijden";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Terherne";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terhole";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Terkaple";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Termunten";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Termunterzijl";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Ternaard";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terneuzen";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Teroele";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terschuur";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tersoal";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terwispel";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Terwolde";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Teteringen";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Teuge";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Thesinge";"TenBoer";"GM0009";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tholen";"Tholen";"GM0716";"Zeeland";"PV29";"West-Nederland";"LD03"
"Thorn";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Tiel";"Tiel";"GM0281";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tiendeveen";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tiendeveen";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tienhoven";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Tienhoven";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Tienray";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Tijnje";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Tike";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tilburg";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Tilligte";"Dinkelland";"GM1774";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tinallinge";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tinte";"Westvoorne";"GM0614";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Tirns";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjalhuizum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjalleberd";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjerkgaast";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjerkwerd";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tjuchem";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tolbert";"Leek";"GM0022";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Toldijk";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tolkamer";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tollebeek";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Tonden";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Toornwerd";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tricht";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Triemen";"KollumerlandenNieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tripscompagnie";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Tubbergen";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tuil";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Tuitjenhorn";"Schagen";"GM0441";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Tuk";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Tull en 't Waal";"Houten";"GM0321";"Utrecht";"PV26";"West-Nederland";"LD03"
"Twello";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Twijzel";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Twijzelerheide";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Twisk";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Tynaarlo";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Tytsjerk";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tzum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Tzummarum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ubbena";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ubbergen";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uddel";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uden";"Uden";"GM0856";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Udenhout";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Uffelte";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ugchelen";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Uitdam";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uitgeest";"Uitgeest";"GM0450";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uithoorn";"Uithoorn";"GM0451";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Uithuizen";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Uithuizermeeden";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Uitwellingerga";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Uitwijk";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulestraten";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ulft";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ulicoten";"Baarle-Nassau";"GM0744";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulrum";"DeMarne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Ulvenhout";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ulvenhout AC";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ureterp";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Urk";"Urk";"GM0184";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Urmond";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ursem";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ursem";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Usquert";"Eemsmond";"GM1651";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Utrecht";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vaals";"Vaals";"GM0981";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vaassen";"Epe";"GM0232";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Valburg";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Valkenburg";"ValkenburgaandeGeul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Valkenburg";"Katwijk";"GM0537";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Valkenswaard";"Valkenswaard";"GM0858";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Valthe";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Valthermond";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"2e Valthermond";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Varik";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Varsselder";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Varsseveld";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vasse";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Veelerveen";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Veen";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Veendam";"Veendam";"GM0047";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Veenendaal";"Veenendaal";"GM0345";"Utrecht";"PV26";"West-Nederland";"LD03"
"De Veenhoop";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veenhuizen";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veeningen";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veenklooster";"KollumerlandenNieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veenoord";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Veere";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Veessen";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vegelinsoord";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Veghel";"Meierijstad";"GM1948";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'t Veld";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velddriel";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Den Velde";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Velden";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Veldhoven";"Veldhoven";"GM0861";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Velp";"Rheden";"GM0275";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Velp";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Velsen-Noord";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velsen-Zuid";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Velserbroek";"Velsen";"GM0453";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Venebrugge";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Venhorst";"Boekel";"GM0755";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Venhuizen";"Drechterland";"GM0498";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Venlo";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Venray";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ven-Zelderheide";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vessem";"Eersel";"GM0770";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vethuizen";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Veulen";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vianen";"Vianen";"GM0620";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vianen NB";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vierakker";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vierhouten";"Nunspeet";"GM0302";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Vierhuizen";"DeMarne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vierlingsbeek";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vierpolders";"Brielle";"GM0501";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vijfhuizen";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Vijlen";"Vaals";"GM0981";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vilsteren";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vinkega";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vinkel";"'s-Hertogenbosch";"GM0796";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vinkel";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vinkenbuurt";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vinkeveen";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Visvliet";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vlaardingen";"Vlaardingen";"GM0622";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vlagtwedde";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vledder";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vledderveen";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Vledderveen";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Vleuten";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Vlieland";"Vlieland";"GM0096";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Vlierden";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vlijmen";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vlissingen";"Vlissingen";"GM0718";"Zeeland";"PV29";"West-Nederland";"LD03"
"Vlist";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Vlodrop";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Voerendaal";"Voerendaal";"GM0986";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Vogelenzang";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Vogelwaarde";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Volendam";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Volkel";"Uden";"GM0856";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Vollenhove";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Vondelingenplaat Rotterdam";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorburg";"Leidschendam-Voorburg";"GM1916";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorhout";"Teylingen";"GM1525";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Voorschoten";"Voorschoten";"GM0626";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
